"";"TITULOS";"CALIFICACION";"LINKS"
"39";"Un lugar en silencio(2018)
39 ( 3)";"7.5";"imdb.com/title/tt6644200/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=68ZDS0922AN9T3T929XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_39"
"40";"Cosmic Sin(2021)
40 ( 744)";"2.5";"imdb.com/title/tt11762434/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=68ZDS0922AN9T3T929XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_40"
"41";"Duna(1984)
41 ( 299)";"6.5";"imdb.com/title/tt0087182/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=68ZDS0922AN9T3T929XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_41"
"42";"Crepúsculo(2008)
42 ( 113)";"5.2";"imdb.com/title/tt1099212/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=68ZDS0922AN9T3T929XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_42"
"43";"Spider-Man: Sin Camino a Casa(2021)
43 ( 12)";"";"imdb.com/title/tt10872600/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=68ZDS0922AN9T3T929XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_43"
"44";"Malignant(2021)
44 ( 1,263)";"";"imdb.com/title/tt3811906/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=68ZDS0922AN9T3T929XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_44"
"45";"After We Fell(2021)
45 ( 18)";"";"imdb.com/title/tt13069986/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=68ZDS0922AN9T3T929XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_45"
"46";"The Green Knight(2021)
46 ( 47)";"";"imdb.com/title/tt9243804/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=68ZDS0922AN9T3T929XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_46"
"47";"Vacation Friends(2021)
47 ( 8,314)";"";"imdb.com/title/tt3626476/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=68ZDS0922AN9T3T929XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_47"
"48";"Chernobyl(2021)
48 ( 2,499)";"4.9";"imdb.com/title/tt10648714/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=68ZDS0922AN9T3T929XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_48"
